Item No	Item Description	Inventory UoM	catno	stkmaintain	active	Warehouse	MIN	MAX	ROL	ROQ	LT	SHP
MTMEC0000873	MECHANICAL - BELT TEETH TYPE HTD600 -8M	NOS	3	1	1	1	1	2	2	1	7	30
MTMEC0000874	MECHANICAL - BELT TEETH TYPE HTD712	NOS	3	1	1	1	1	2	2	1	7	30
MTMEC0001233	MECHANICAL - BELT TEETH 940 HTD-5m-38	NOS	3	1	1	1	1	2	2	1	7	30
MTMEC0001548	MECHANICAL - BELT HOPPER 75MM X 2692mm	NOS	3	1	1	1	5	20	10	15	7	30
MTPNM0001824	MECHANICAL - BELT A 80	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001825	MECHANICAL - BELT B 40	NOS	3	1	1	1	1	4	2	2	7	30
MTPNM0001826	MECHANICAL - BELT B 48	NOS	3	1	1	1	3	8	4	6	7	30
MTPNM0001827	MECHANICAL - BELT B 56	NOS	3	1	1	1	2	6	3	4	7	30
MTPNM0001828	MECHANICAL - BELT B 60	NOS	3	1	1	1	2	6	3	4	7	30
MTPNM0001829	MECHANICAL - BELT B 124	NOS	3	1	1	1	1	4	2	2	7	30
MTPNM0001830	MECHANICAL - BELT B 61	NOS	3	1	1	1	1	4	2	2	7	30
MTPNM0001831	MECHANICAL - TEETH BELT 250 H 8mm	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001832	MECHANICAL - TEETH BELT 345 L 25mm	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001833	MECHANICAL - TEETH BELT HTD 301 - 8mm	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001834	MECHANICAL - TEETH BELT HTD 608 - 8mm	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001835	MECHANICAL - TEETH BELT HTD 1104-58M	NOS	3	1	1	1	1	4	2	2	7	30
MTPNM0001836	MECHANICAL - TEETH BELT HTD 608 - 8M - 60M	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001837	MECHANICAL - TEETH BELT HTD 1260 - 14M	NOS	3	1	1	1	1	4	2	2	7	30
MTPNM0001838	MECHANICAL - TEETH BELT HTD 1540 - 14M	NOS	3	1	1	1	1	4	2	2	7	30
MTPNM0001839	MECHANICAL - TEETH BELT  395H - 38MM	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001840	MECHANICAL - TEETH BELT  650H - 38MM	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001841	MECHANICAL - TEETH BELT  570H - 38MM	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001842	MECHANICAL - TEETH BELT  2100 - 14M	NOS	3	1	1	1	1	2	2	1	7	30
MTPNM0001843	MECHANICAL - BELT  HOPPER 65mm X 2794mm	NOS	3	1	1	1	5	20	10	15	7	30
MTMEC0000766	MECHANICAL - BELT   3V 375	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000768	MECHANICAL - BELT   A 53	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000769	MECHANICAL - BELT   A 54	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000770	MECHANICAL - BELT   A 56	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000771	MECHANICAL - BELT   A 59	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000772	MECHANICAL - BELT   A 61	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000773	MECHANICAL - BELT   A 68	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000774	MECHANICAL - BELT   A 70	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000775	MECHANICAL - BELT   A 71	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000777	MECHANICAL - BELT   B 62	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000779	MECHANICAL - BELT   B 88	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000781	MECHANICAL - BELT   B 93	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000782	MECHANICAL - BELT   MPMF 6260	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000783	MECHANICAL - BELT   N 49/9 X 2295	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000784	MECHANICAL - BELT   RAF 2350	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000785	MECHANICAL - BELT   SPZ 962 LW	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000786	MECHANICAL - BELT  2530	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000787	MECHANICAL - BELT  460H	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000788	MECHANICAL - BELT  525L	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000789	MECHANICAL - BELT  630L	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000790	MECHANICAL - BELT  A - 26	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000791	MECHANICAL - BELT  A - 39	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000794	MECHANICAL - BELT  A - 82	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000796	MECHANICAL - BELT  A23	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000797	MECHANICAL - BELT  A26	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000799	MECHANICAL - BELT  A35	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000800	MECHANICAL - BELT  A37	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000801	MECHANICAL - BELT  A44	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000802	MECHANICAL - BELT  A47	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000807	MECHANICAL - BELT  A56	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000808	MECHANICAL - BELT  A64	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000809	MECHANICAL - BELT  A65	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000811	MECHANICAL - BELT  B82	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000812	MECHANICAL - BELT  A84	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000813	MECHANICAL - BELT  A86	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000814	MECHANICAL - BELT  A965	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000815	MECHANICAL - BELT  B - 104	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000816	MECHANICAL - BELT  B - 24	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000817	MECHANICAL - BELT  B - 95	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000818	MECHANICAL - BELT  B -108	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000819	MECHANICAL - BELT  B -26	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000820	MECHANICAL - BELT  B -91	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000821	MECHANICAL - BELT  B26	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000822	MECHANICAL - BELT  B-26	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000823	MECHANICAL - BELT  B42	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000827	MECHANICAL - BELT  B68	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000829	MECHANICAL - BELT  B74	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000830	MECHANICAL - BELT  B78	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000831	MECHANICAL - BELT  C - 93	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000832	MECHANICAL - BELT  FM 1390	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000838	MECHANICAL - BELT  MPMF 6270	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000839	MECHANICAL - BELT  MPMF 6400	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000840	MECHANICAL - BELT  MPMF 6430	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000841	MECHANICAL - BELT  SPZ 950 L W	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000842	MECHANICAL - BELT  SPZ1520 (3V600)	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000843	MECHANICAL - BELT  SPZ962LW	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000844	MECHANICAL - BELT  TEETH 203L	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000845	MECHANICAL - BELT  ZR630L	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000847	MECHANICAL - BELT A- 28	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000848	MECHANICAL - BELT A-22	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000849	MECHANICAL - BELT A-27	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000850	MECHANICAL - BELT A-45	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000856	MECHANICAL - BELT RAF 2530	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000857	MECHANICAL - BELT T   510 H/ 37 MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000858	MECHANICAL - BELT T  330 H -25 MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000859	MECHANICAL - BELT T  DOUBLE  720 L -35 MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000860	MECHANICAL - BELT T 1304 L -BM-50 M	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000861	MECHANICAL - BELT T 300 L	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000862	MECHANICAL - BELT T 310 H -37MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000863	MECHANICAL - BELT T 345 L - 1 ''	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000864	MECHANICAL - BELT TEETH 460 H	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000865	MECHANICAL - BELT TEETH 480 L -20 MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000866	MECHANICAL - BELT TEETH 525 L -35MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000867	MECHANICAL - BELT TEETH 630 L -35 MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000868	MECHANICAL - BELT TEETH 650 H -50 MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000869	MECHANICAL - BELT TEETH 660 L - 35 MM	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000870	MECHANICAL - BELT TEETH BELT 5560	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000871	MECHANICAL - BELT TEETH TYPE 367C	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000872	MECHANICAL - BELT TEETH TYPE 439L	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0000875	MECHANICAL - BELT TEETH TYPE L05A	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001216	"MECHANICAL - BELT HOPPER 106MMX122"""	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001217	"MECHANICAL - BELT HOPPER 50MMX96"" (GRAY)"	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001221	MECHANICAL  - BELT MPMF 1530	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001222	MECHANICAL  - BELT TEETH HTD 1104 -8M	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001225	MECHANICAL - BELT 3V 600	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001226	MECHANICAL - BELT B 57	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001227	MECHANICAL - BELT B 80	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001228	MECHANICAL - BELT B82	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001229	"MECHANICAL - BELT HOPPER 106MMX122"""	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001230	"MECHANICAL - BELT HOPPER 50MMX96"" (GRAY)"	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001231	MECHANICAL - BELT MPMF 6470	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001232	MECHANICAL - BELT RELMF 8480	NOS	3	1	1	1	0	0	0	0	7	30
MTMEC0001674	MECHANICAL -BELT A-91	NOS	3	1	1	1	0	0	0	0	7	30
MTELC0000001	ELECTRICAL  - BULB HOLDER CERAMIC (E27)	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000002	ELECTRICAL  - BULB HOLDER CERAMIC (E40)	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000003	ELECTRICAL  - CABLE TIE   (4'')	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000004	ELECTRICAL  - CFL BULB 65W  - (E27)	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000005	ELECTRICAL  - CFL BULB 80W  - (E40)	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000006	ELECTRICAL  - INDICATOR LAMP  RED LED	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000007	ELECTRICAL  - SELECTOR SWITCH (ON /OFF)	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000009	ELECTRICAL - 10 K POTCONTROLLER	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000012	ELECTRICAL - B I METAL RELAY 8-12.5 A	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000014	ELECTRICAL - BREAKER SINGLE   POLE 6A	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000015	ELECTRICAL - BREAKER 4 POLE  32A	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000016	ELECTRICAL - BREKER 2 POLE  40A	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000018	ELECTRICAL - BULB 500W HALOGEN LENEAR TUNGSTON HALOGEN LAMP	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000020	ELECTRICAL - BULB FLORASANT  230 V /40W	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000021	ELECTRICAL - BULB HOLDER  PIN TYPE PENDENT HOLDER	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000023	ELECTRICAL - BULB HOLDER  THREAD TYPE E27 PENDENT HOLDER	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000026	ELECTRICAL - CABEL MOUNT   1 '' X 1 ''	NOS	4	1	1	1	20	30	11	19	7	30
MTELC0000027	ELECTRICAL - CABEL MOUNT   1/2 ''X 1/2''	NOS	4	1	1	1	20	30	11	19	7	30
MTELC0000028	ELECTRICAL - CABEL TIE 2.5 MM x 150 MM	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000029	ELECTRICAL - CABEL TIE 3.6 MM X 300 MM	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000030	ELECTRICAL - CAPASITER   2.5 µF	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000031	ELECTRICAL - CAPASITER  1.5  µf	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000033	ELECTRICAL - CEALING  ROSE	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000036	ELECTRICAL - CIRCUIT BREAKER  3 POLE  26 A - 55X43257 RC  MCB	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000037	ELECTRICAL - CIRCUIT BREAKER  4 POLE  16 A - 55X44107 RC  MCB	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000038	ELECTRICAL - CIRCUIT BREAKER  4 POLE  25 A - 55X44257 RC  MCB	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000039	ELECTRICAL - CIRCUIT BREAKER  4 POLE  40 A  - 55X44107RC MCB	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000040	ELECTRICAL - CONECTOR BAR  PANNAL USED  15 A	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000041	ELECTRICAL - CONECTOR BAR  PANNAL USED  25 A	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000042	ELECTRICAL - CONNECTOR BAR  5A	NOS	4	1	1	1	6	10	6	5	7	30
MTELC0000043	ELECTRICAL - CONNECTOR BAR 10A	NOS	4	1	1	1	6	10	6	5	7	30
MTELC0000044	ELECTRICAL - CONTACTOR  45A 4 POLE 2NC 2NO COIL VOLTAGE 220V	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000045	ELECTRICAL - CONTACTOR  MAGNATIC   SIEMENS -3TH30-00 -OA	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000046	ELECTRICAL - CONTACTOR  MAGNATIC   SIEMENS -3TH30-22 -OA	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000047	ELECTRICAL - CONTACTOR  MAGNATIC  11''X415 V  HIMC 65  ''	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000048	ELECTRICAL - CONTACTOR  MAGNATIC  415 V HIMC 9  ''	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000049	ELECTRICAL - CONTACTOR  45A 3 POLE 2NC 2NO COIL VOLTAGE 220V	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000050	ELECTRICAL - CONTROL BOX  WITH SWITH	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000054	ELECTRICAL - DC MOTOR   220 V 400 W	NOS	4	1	1	1	2	3	3	0	7	30
MTELC0000056	ELECTRICAL - DELTA TIMER 50 - ANLY AC 240 V	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000058	ELECTRICAL - DOUBLE SUNBOX	NOS	4	1	1	1	20	30	25	5	7	30
MTELC0000059	ELECTRICAL - EMERGENCY STOP SWICH    LA 39	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000060	ELECTRICAL - FLEXIBLE HOSE  1'' PVC	FEET	4	1	1	1	5	10	6	5	7	30
MTELC0000061	ELECTRICAL - FLEXIBLE HOSE  1½'' PVC	MTS	4	1	1	1	5	10	6	5	7	30
MTELC0000063	ELECTRICAL - FLEXIBLE HOSE  3/4 ''	MTS	4	1	1	1	5	10	6	5	7	30
MTELC0000064	ELECTRICAL - FLEXIBLE HOSE 1¼''	MTS	4	1	1	1	5	10	6	5	7	30
MTELC0000065	ELECTRICAL - FLEXIBLE HOSE G.I 1/2''	MTS	4	1	1	1	5	10	6	5	7	30
MTELC0000069	ELECTRICAL - FUSE  2 AMP CERAMIC (RT14/RT18)	NOS	4	1	1	1	10	20	10	10	7	30
MTELC0000073	ELECTRICAL - GI JUNCTION BOX 2 WAY 1 ''	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000074	ELECTRICAL - GI JUNCTION BOX 3 WAY 1 ''	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000075	ELECTRICAL - GI JUNCTION BOX 4 WAY  1 ''	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000079	ELECTRICAL - HEATER  2000 W / 230V CORE MC 1-2	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000090	ELECTRICAL - HEATING WIRE CASING  4 MM	meter	4	1	1	1	3	5	4	1	7	30
MTELC0000091	ELECTRICAL - HEATING WIRE CASING  6 MM	meter	4	1	1	1	3	5	4	1	7	30
MTELC0000093	ELECTRICAL - INDICATER LAMP PANNEL BOARD  GREEN  AD 12 LED	NOS	4	1	1	1	5	8	6	2	7	30
MTELC0000094	ELECTRICAL - INDICATER LAMP PANNEL BOARD  RED   AD 12 LED	NOS	4	1	1	1	5	8	6	2	7	30
MTELC0000095	ELECTRICAL - INDICATER LAMP PANNEL BOARD  YELLOW   AD 12 LED	NOS	4	1	1	1	5	8	6	2	7	30
MTELC0000096	ELECTRICAL - INDICATOR LAMP  GREEN 220 V LED	NOS	4	1	1	1	5	8	6	2	7	30
MTELC0000097	ELECTRICAL - INDICATOR WITH PUSH BUTTON SWITCH  GREEN	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000098	ELECTRICAL - INDICATOR WITH PUSH BUTTON SWITCH  RED	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000100	ELECTRICAL - JUNCTION BOX 1 WAY 1'' G I	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000102	ELECTRICAL - JUNCTION BOX 2 WAY  1'' GI	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000104	ELECTRICAL - JUNCTION BOX 2 WAY GI  1''	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000106	ELECTRICAL - FLUORESCENT LAMP 4FEETS LED 40W	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000109	ELECTRICAL - LIMIT SWITCH  XCKP2102G11 TELEMICANIQUE	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000110	ELECTRICAL - LIMIT SWITCH XCKJ10541	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000111	ELECTRICAL - MCB  1 POLE   6 A  	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000112	ELECTRICAL - MCB  4 POLE  32 A 	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000113	ELECTRICAL - MCB 1 POLE  6 A	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000115	ELECTRICAL - MCB 4 POLE  40 A	NOS	4	1	1	1	5	8	6	2	7	30
MTELC0000121	ELECTRICAL - NET WORK WIRE	meter	4	1	1	1	100	300	55	250	7	30
MTELC0000122	ELECTRICAL - NETWORK OUTLET   8 WIRE -WITH RJ45 JACK	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000123	ELECTRICAL - NETWORK SOCKET	NOS	4	1	1	1	10	15	11	4	7	30
MTELC0000124	ELECTRICAL - NUTON METER (TAPE SLITTER MACHINE)	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000125	ELECTRICAL - SELECTOR ON/OFF SWITCH	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000126	ELECTRICAL - OVER LOAD RELAY2-3-2.A	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000127	ELECTRICAL - OVERLOAD RELAY   2 -3.2 A  34A5000 - ID	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000128	ELECTRICAL - OVERLOAD RELAY   2.5- 4A  SUA5200-IE	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000129	ELECTRICAL - OVERLOAD RELAY   8 - 12.5 A  34A5200-LK	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000130	ELECTRICAL - OVERLOAD RELAY  SIEMENS  1-1.6A SUA5200-IE	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000131	ELECTRICAL - OVERLOAD RELAY 2.5/4-A	NOS	4	1	1	1	1	1	0	1	7	30
MTELC0000132	ELECTRICAL - PLAG TOP ROUND PIN 5A	NOS	4	1	1	1	10	20	15	5	7	30
MTELC0000133	ELECTRICAL - PLAG TOP SQUIR PIN  13 A	NOS	4	1	1	1	10	20	15	5	7	30
MTELC0000134	ELECTRICAL - PLUG BASE  13 A  SQUARE PIN (250V)SWITCHED SOCKET OUTLET	NOS	4	1	1	1	8	15	9	6	7	30
MTELC0000136	ELECTRICAL - PLUG BASE  15A ROUND PIN (250V)SWITCHED SOCKET OUTLET	NOS	4	1	1	1	8	15	9	6	7	30
MTELC0000137	ELECTRICAL - PLUG BASE  5A ROUND PIN  (250V)SWITCHED SOCKET OUTLET	NOS	4	1	1	1	10	20	12	8	7	30
MTELC0000140	ELECTRICAL - PLUG TOP ROUND PIN 15 A (250V)	NOS	4	1	1	1	8	20	12	8	7	30
MTELC0000141	ELECTRICAL - POTENTIOMETER   1K	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000142	ELECTRICAL - POTENTIOMETER  4.7K or 5K	NOS	4	1	1	1	8	20	9	11	7	30
MTELC0000143	ELECTRICAL - PROXIMITY SENCER   140 C 12- 24 DC  2 X 58 - S 17NA	NOS	4	1	1	1	1	1	1	0	7	30
MTELC0000150	ELECTRICAL - RELAY 12 V SC ROUND PIN	NOS	4	1	1	1	3	5	4	1	7	30
MTELC0000151	ELECTRICAL - RELAY 5P/24V 20A	NOS	4	1	1	1	3	5	4	1	7	30
MTELC0000152	ELECTRICAL - RELAY 8 PIN   ROUND PIN 230V - 240V	NOS	4	1	1	1	8	15	9	6	7	30
MTELC0000153	ELECTRICAL - RELAY BASE  ROUND PIN  11 PIN 	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000154	ELECTRICAL - RELAY BASE  SQUARE 14 PIN	NOS	4	1	1	1	8	10	9	1	7	30
MTELC0000155	ELECTRICAL - RELAY ROUND  PIN 11 230V 	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000156	ELECTRICAL - RELAY BOTOM VIEW  11 PIN - 230 V	NOS	4	1	1	1	3	5	4	1	7	30
MTELC0000158	ELECTRICAL - RELAY SOLID STATE  (SSR) 380 D40	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000160	ELECTRICAL - RELAY SQUARE PIN  11 PIN - 24 V DC	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000161	ELECTRICAL - RELAY SQUARE PIN  14 PIN - 220 / 240 V	NOS	4	1	1	1	8	15	9	6	7	30
MTELC0000162	ELECTRICAL - RELAY SQUARE PIN  14 PIN - 24 V DC	NOS	4	1	1	1	4	10	6	4	7	30
MTELC0000163	ELECTRICAL - RELAY SQUARE PIN  8 PIN - 220 / 240 V	NOS	4	1	1	1	4	10	6	4	7	30
MTELC0000164	ELECTRICAL - RELAY SQUIRE PIN  8 PIN - 24 V DC	NOS	4	1	1	1	4	10	5	5	7	30
MTELC0000165	ELECTRICAL - RESIDUAL CURRENT DEVICE  2 POLE  40 A (20MA)	NOS	4	1	1	1	4	10	5	5	7	30
MTELC0000166	ELECTRICAL - SELECTOR SWITCH  2BZBE101C	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000181	ELECTRICAL - SMOKE DETECTOR AUTO ELECTRIC	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000185	ELECTRICAL - SPIRAL CASING  1/2 '' / 1'' / 5mm	FEET	4	1	1	1	3	5	4	1	7	30
MTELC0000188	ELECTRICAL - SUNG  BOX TRIBLE	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000189	ELECTRICAL - SUNG BOX DOUBLE	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000190	ELECTRICAL - SUNG BOX SINGLE	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000191	ELECTRICAL - SWITCH  PUSH  BUTTON RED / GREEN	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000192	ELECTRICAL - SWITCH  SELECTOR 8/15A  250V	NOS	4	1	1	1	2	3	2	1	7	30
MTELC0000193	ELECTRICAL - SWITCH  TWO  POLE  W/N 20 A  250A	NOS	4	1	1	1	1	2	1	1	7	30
MTELC0000194	ELECTRICAL - SWITCH 1 GANG  10 A 250V	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000195	ELECTRICAL - SWITCH 2 GANG   10 A 250V	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000196	ELECTRICAL - SWITCH 3  GANG  10 A 250V	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000197	ELECTRICAL - SWITCH 4  GANG  10 A 250V	NOS	4	1	1	1	2	4	3	1	7	30
MTELC0000199	ELECTRICAL - TELEPHONE CABEL  0.2 MM  100 M	MEATER	4	1	1	1	50	100	60	40	7	30
MTELC0000200	ELECTRICAL - TELEPHONE OUT LET 4 WIRE DOUBLE	NOS	4	1	1	1	2	5	3	2	7	30
MTELC0000201	ELECTRICAL - TELEPHONE OUTLET SINGLE SHOCKET-  4WIRE	NOS	4	1	1	1	2	5	3	2	7	30
MTELC0000214	ELECTRICAL - TUBE LIGHT  STATER	NOS	4	1	1	1	5	10	6	4	7	30
MTELC0000217	ELECTRICAL - WIRE  1/ 1.13 MM 1 MM BROWN	MEATER	4	1	1	1	50	100	60	40	7	30
